venta_id,vehiculo_id,fecha_venta,region_vendedor,precio_venta_real,kilometraje_venta,servicios_realizados,coste_mantenimiento_anual,incidencias_mecanicas,valor_residual_estimado
VT096,VH048,2023-09-07,Andalucía,35143,11588,2,720,0,36000
VT097,VH049,2023-04-18,Cataluña,42471,10383,3,880,0,44000
VT098,VH049,2023-03-08,Valencia,41217,28141,3,880,0,44000
VT099,VH050,2023-01-20,Valencia,39867,24451,0,896,0,44800
VT100,VH051,2023-04-08,Madrid,30053,41070,5,710,2,20448
VT101,VH051,2023-02-22,País Vasco,28995,20061,1,710,0,20517
VT102,VH051,2023-05-29,País Vasco,30365,39083,4,710,0,17673
VT103,VH052,2023-06-25,País Vasco,31712,12348,1,838,0,14993
VT104,VH053,2023-01-10,Cataluña,30336,8598,1,828,0,16780
VT105,VH053,2023-03-28,Madrid,31300,42633,6,828,2,15650
VT106,VH054,2023-01-25,Valencia,36608,43382,0,698,0,34900
VT107,VH054,2023-12-20,Madrid,32574,24920,0,698,0,34900
VT108,VH054,2023-03-20,Cataluña,34517,41308,0,698,0,34900
VT109,VH055,2023-09-24,Andalucía,30016,45922,1,666,0,23412
VT110,VH055,2023-09-19,Valencia,26905,7471,6,666,1,24304
VT111,VH055,2023-05-15,Valencia,32174,23456,5,666,0,25686
VT112,VH056,2023-09-12,Cataluña,29926,31500,2,656,0,23720
VT113,VH056,2023-02-26,Valencia,29809,9774,0,656,0,25528
VT114,VH056,2023-02-21,Andalucía,29660,29933,2,656,0,25453
VT115,VH057,2023-01-21,Andalucía,44258,44352,2,960,0,48000
VT116,VH058,2023-01-05,Cataluña,25156,11174,2,762,0,8720
VT117,VH059,2023-05-18,Madrid,52883,22460,1,1244,3,32499
VT118,VH059,2023-05-20,País Vasco,56512,31342,6,1244,0,33159
VT119,VH059,2023-03-27,Madrid,50136,47606,0,1244,0,33524
VT120,VH060,2023-08-02,Valencia,33507,37286,5,708,0,35400
VT121,VH061,2023-11-10,Madrid,29346,47662,1,874,0,7591
VT122,VH061,2023-07-30,País Vasco,24659,17145,5,874,0,6441
VT123,VH062,2023-09-26,Valencia,29445,14679,5,792,0,12009
VT124,VH062,2023-12-19,Valencia,25724,43366,5,792,2,11162
VT125,VH062,2023-11-25,País Vasco,26040,36591,4,792,1,12090
VT126,VH063,2023-09-11,Cataluña,26728,32220,2,818,2,15751
VT127,VH063,2023-04-25,Valencia,30241,26429,6,818,3,13014
VT128,VH064,2023-08-18,Madrid,34316,29299,2,822,3,15669
VT129,VH064,2023-01-10,Madrid,31271,2348,4,822,0,15185
VT130,VH064,2023-11-06,Valencia,32844,33314,4,822,3,14458
VT131,VH065,2023-01-28,Cataluña,28936,21756,4,668,0,17725
VT132,VH065,2023-12-03,Andalucía,28206,7472,0,668,0,19462
VT133,VH066,2023-07-01,Andalucía,41260,24503,5,1060,1,17680
VT134,VH066,2023-07-29,Madrid,38737,12839,1,1060,3,20254
VT135,VH067,2023-06-23,Madrid,37854,3047,5,756,0,37800
VT136,VH068,2023-08-23,Valencia,41129,8823,3,840,0,31390
VT137,VH068,2023-08-10,Valencia,37390,33314,6,840,0,32875
VT138,VH069,2023-03-30,Cataluña,25251,43091,4,780,0,12972
VT139,VH069,2023-07-16,País Vasco,30331,45384,6,780,3,9355
VT140,VH069,2023-05-31,País Vasco,29318,9055,3,780,0,9744
VT141,VH070,2023-06-03,Valencia,34957,46653,5,934,0,10308
VT142,VH070,2023-04-13,Cataluña,33339,19043,5,934,0,10050
VT143,VH070,2023-12-30,Cataluña,32517,45502,5,934,0,14172
VT144,VH071,2023-10-15,País Vasco,29770,43722,5,816,0,11123
VT145,VH071,2023-10-01,Andalucía,31585,27681,6,816,0,15887
VT146,VH072,2023-01-28,Madrid,40049,49164,6,950,2,35175
VT147,VH073,2023-02-01,Andalucía,46856,35466,0,1302,0,17753
VT148,VH074,2023-12-12,Valencia,29359,48654,5,824,0,11051
VT149,VH074,2023-12-23,Andalucía,28372,3078,3,824,0,7010
VT150,VH074,2023-12-17,Andalucía,29939,3525,0,824,0,11284
VT151,VH075,2023-04-26,Andalucía,36437,35822,5,728,0,36400
VT152,VH075,2023-04-10,Andalucía,34207,44738,0,728,1,36400
VT153,VH076,2023-07-13,Madrid,29942,36477,2,640,2,32000
VT154,VH077,2023-12-30,Cataluña,27885,21143,4,800,2,16699
VT155,VH077,2023-10-21,Valencia,29953,46378,2,800,0,13948
VT156,VH078,2023-02-04,Valencia,33688,35591,4,764,0,38200
VT157,VH078,2023-04-20,Andalucía,34999,19239,1,764,0,38200
VT158,VH078,2023-09-01,Valencia,38763,42552,0,764,2,38200
VT159,VH079,2023-11-11,Valencia,36490,2613,5,1062,0,14320
VT160,VH079,2023-02-28,País Vasco,36594,47446,2,1062,2,13185
VT161,VH079,2023-09-18,País Vasco,38463,19427,5,1062,0,9972
VT162,VH080,2023-10-03,Valencia,30142,4290,1,858,0,16328
VT163,VH081,2023-08-06,Madrid,48655,46054,5,1192,0,33675
VT164,VH081,2023-02-06,Cataluña,46669,46980,2,1192,0,38946
VT165,VH081,2023-05-09,Valencia,47179,14918,2,1192,0,35372
VT166,VH082,2023-08-10,Andalucía,31234,44125,0,932,0,13959
VT167,VH082,2023-11-13,Madrid,36644,38378,0,932,0,18461
VT168,VH083,2023-02-24,Andalucía,36669,19749,4,878,3,19478
VT169,VH083,2023-12-05,Madrid,34391,34961,1,878,3,16639
VT170,VH083,2023-10-07,Andalucía,37930,9442,2,878,0,15890
VT171,VH084,2023-11-28,Andalucía,53428,730,4,1026,0,51300
VT172,VH084,2023-01-22,Madrid,49481,25826,4,1026,0,51300
VT173,VH084,2023-04-18,Andalucía,45777,42331,6,1026,0,51300
VT174,VH085,2023-11-12,Andalucía,33955,11885,5,764,0,38200
VT175,VH086,2023-08-25,Valencia,28100,44019,0,650,1,32500
VT176,VH086,2023-09-07,Andalucía,29946,43994,5,650,2,32500
VT177,VH086,2023-04-10,Andalucía,30783,21518,4,650,0,32500
VT178,VH087,2023-10-17,Valencia,33963,20731,3,1036,2,11635
VT179,VH088,2023-12-31,País Vasco,28971,23559,1,790,0,17441
VT180,VH089,2023-08-25,País Vasco,29865,20019,3,648,0,32400
VT181,VH089,2023-11-07,Madrid,32995,9175,4,648,0,32400
VT182,VH090,2023-09-17,Madrid,37160,37938,3,884,0,20888
VT183,VH091,2023-10-10,Andalucía,34130,35368,3,1012,0,12078
VT184,VH092,2023-04-25,Valencia,44749,19070,1,998,0,28661
VT185,VH092,2023-07-23,Andalucía,42674,43429,1,998,0,26576
VT186,VH093,2023-12-17,Cataluña,27339,9199,3,596,1,21196
VT187,VH093,2023-09-05,Andalucía,23426,49903,3,596,2,22196
VT188,VH093,2023-01-22,Cataluña,26033,23674,3,596,0,21964
VT189,VH094,2023-01-21,Andalucía,30560,34168,5,702,0,35100
VT190,VH095,2023-10-24,Valencia,32006,24684,5,714,0,26269
VT191,VH095,2023-02-09,Valencia,29891,14607,4,714,0,25507
VT192,VH096,2023-09-07,País Vasco,32261,432,4,928,0,8609
VT193,VH096,2023-04-28,Madrid,29921,18403,1,928,1,9119
VT194,VH097,2023-03-02,Cataluña,38436,21641,5,1074,3,13678
VT195,VH097,2023-10-30,Cataluña,40353,26928,0,1074,1,12892
VT196,VH097,2023-03-24,Cataluña,40207,2568,4,1074,1,15667
VT197,VH098,2023-09-22,País Vasco,33849,36936,5,848,2,15036
VT198,VH099,2023-08-18,Valencia,54735,31566,1,1094,3,41234
VT199,VH100,2023-04-04,Valencia,38492,17335,1,1034,0,14159
VT200,VH100,2023-08-21,Valencia,37950,15061,3,1034,0,16310
VT201,VH100,2023-04-14,Valencia,40059,33053,5,1034,0,15916
VT202,VH101,2023-04-01,País Vasco,38946,39309,0,856,0,24002
VT203,VH102,2023-02-17,País Vasco,31518,39549,4,692,0,24406
VT204,VH103,2023-11-29,País Vasco,27487,24273,6,626,3,23819
VT205,VH103,2023-09-04,País Vasco,26499,48587,6,626,0,22821
VT206,VH103,2023-08-06,Cataluña,25946,15237,6,626,3,23738
VT207,VH104,2023-12-30,Madrid,56198,7722,4,1164,1,58200
VT208,VH105,2023-07-29,Andalucía,47225,27923,5,1084,0,54200
VT209,VH105,2023-10-02,País Vasco,52191,40100,2,1084,0,54200
VT210,VH106,2023-07-31,Valencia,39968,31619,1,944,0,19911
VT211,VH107,2023-06-07,Valencia,40890,46235,3,990,0,26008
VT212,VH107,2023-12-04,Madrid,44481,29268,6,990,0,30939
VT213,VH108,2023-09-18,País Vasco,32231,36082,4,940,0,7169
VT214,VH109,2023-07-19,Madrid,55497,9524,3,1148,0,44275
VT215,VH110,2023-05-15,Cataluña,26986,39913,0,684,0,16730
VT216,VH111,2023-11-11,Valencia,40012,39155,0,982,0,26010
VT217,VH111,2023-11-24,País Vasco,41357,13219,6,982,0,26120
VT218,VH112,2023-04-10,Madrid,26579,33459,4,578,0,20816
VT219,VH112,2023-12-12,Madrid,24339,42927,0,578,0,22211
VT220,VH113,2023-07-24,Andalucía,31191,26571,4,734,0,19104
VT221,VH113,2023-02-05,Madrid,30429,47588,6,734,0,19870
VT222,VH114,2023-05-22,Cataluña,27973,12748,3,676,0,18088
VT223,VH114,2023-05-14,Cataluña,26825,6977,4,676,2,19177
VT224,VH115,2023-09-20,Andalucía,29937,37676,2,884,0,5340
VT225,VH116,2023-09-05,Cataluña,37256,30071,5,844,0,23294
VT226,VH116,2023-01-15,País Vasco,32485,4427,3,844,0,20957
VT227,VH116,2023-12-13,Cataluña,37573,27028,2,844,0,26816
VT228,VH117,2023-05-08,Andalucía,44820,44151,5,1332,0,18440
VT229,VH117,2023-04-02,País Vasco,47099,14323,4,1332,1,13537
VT230,VH118,2023-05-01,Cataluña,28687,13551,1,760,1,9658
VT231,VH119,2023-03-21,Madrid,26744,5143,5,812,0,12580
VT232,VH119,2023-01-04,Valencia,31873,31607,2,812,0,12582
VT233,VH120,2023-05-21,País Vasco,35197,33497,2,944,0,18479
VT234,VH120,2023-03-07,Madrid,37919,27733,3,944,0,24102
VT235,VH120,2023-06-27,País Vasco,40577,11455,3,944,0,18852
VT236,VH121,2023-06-11,Madrid,37674,13811,3,1084,0,19737
VT237,VH121,2023-11-10,Andalucía,39224,17226,1,1084,2,19349
VT238,VH122,2023-08-06,Cataluña,35672,49295,2,764,0,38200
VT239,VH122,2023-08-19,Cataluña,36836,37741,5,764,0,38200
VT240,VH123,2023-10-12,País Vasco,47693,12849,1,934,0,46700
VT241,VH124,2023-01-05,Cataluña,31112,8812,6,716,0,26527
VT242,VH124,2023-06-11,País Vasco,30303,36840,6,716,0,26978
VT243,VH125,2023-03-25,Madrid,39296,16665,3,880,0,44000
VT244,VH125,2023-06-21,Andalucía,40576,36723,4,880,0,44000
VT245,VH125,2023-01-11,País Vasco,38467,44537,4,880,1,44000
VT246,VH126,2023-07-01,Andalucía,37515,31948,6,962,0,12780
VT247,VH126,2023-07-15,Valencia,34568,41399,1,962,0,14537
VT248,VH127,2023-08-04,Valencia,29508,4675,0,762,1,16789
VT249,VH127,2023-12-01,Andalucía,30358,39674,5,762,0,13498
VT250,VH128,2023-10-28,Valencia,33379,27131,1,890,0,13185
VT251,VH128,2023-05-01,Andalucía,33219,45920,5,890,1,11178
VT252,VH129,2023-02-02,País Vasco,33973,1727,6,708,0,35400
VT253,VH130,2023-02-23,Andalucía,24438,5525,5,752,0,8807
VT254,VH131,2023-05-07,Andalucía,28628,8284,1,910,0,10185
VT255,VH132,2023-12-06,Andalucía,34239,21312,6,970,0,6083
VT256,VH133,2023-05-20,Valencia,28263,45719,4,652,3,23686
VT257,VH133,2023-11-22,Valencia,28204,41929,5,652,0,22849
VT258,VH133,2023-09-04,Valencia,26952,5869,3,652,0,24344
VT259,VH134,2023-06-05,Madrid,26181,49695,6,916,2,8262
VT260,VH135,2023-12-19,País Vasco,28791,31265,2,804,3,7508
VT261,VH136,2023-04-29,Madrid,43856,12358,3,964,0,36847
VT262,VH136,2023-05-08,Cataluña,45380,42335,3,964,0,37837
VT263,VH136,2023-02-10,País Vasco,44560,33856,6,964,0,36043
VT264,VH137,2023-12-17,Andalucía,47433,48688,4,1296,0,18091
VT265,VH137,2023-02-05,Cataluña,45884,7232,5,1296,0,17650
VT266,VH137,2023-12-25,Valencia,49601,21013,0,1296,0,20776
VT267,VH138,2023-05-25,Andalucía,31325,28732,5,916,0,17397
VT268,VH139,2023-04-22,Andalucía,34747,32662,2,944,0,13135
VT269,VH139,2023-06-19,Madrid,37896,9574,0,944,3,18774
VT270,VH140,2023-04-03,Cataluña,36432,16389,6,858,0,21643
VT271,VH140,2024-01-01,Cataluña,32814,29029,1,858,0,21484
VT272,VH141,2023-02-18,Valencia,34314,13660,3,998,0,6407
VT273,VH141,2023-06-15,Cataluña,34057,2764,5,998,0,9006
VT274,VH142,2023-09-04,Andalucía,29895,3413,6,772,0,19035
VT275,VH142,2023-05-01,País Vasco,30741,10968,6,772,0,22068
VT276,VH143,2023-01-05,Madrid,32078,45269,3,964,0,11212
VT277,VH144,2023-05-08,Cataluña,33154,44954,4,798,0,19790
VT278,VH145,2023-01-31,Madrid,28738,10087,5,724,0,21976
VT279,VH145,2023-09-07,Cataluña,28496,36592,6,724,0,20737
VT280,VH145,2023-08-13,Cataluña,26653,24757,2,724,0,21232
VT281,VH146,2023-09-06,País Vasco,32028,35568,5,766,0,20958
VT282,VH147,2023-06-28,Andalucía,36372,18043,6,1030,0,6954
VT283,VH147,2023-10-11,Cataluña,31528,10159,3,1030,2,9274
VT284,VH147,2023-08-21,Madrid,36689,33158,3,1030,0,7129
VT285,VH148,2023-07-06,Valencia,27202,47251,0,706,0,19204
VT286,VH148,2023-07-18,Cataluña,28931,32607,6,706,0,18848
VT287,VH148,2023-06-15,País Vasco,29639,7239,0,706,0,21550
VT288,VH149,2023-04-02,Madrid,31343,31809,1,904,3,13313
VT289,VH150,2023-11-16,Valencia,35236,24009,1,782,0,39100
VT290,VH150,2023-04-17,País Vasco,40495,5240,3,782,0,39100
VT291,VH150,2023-10-13,País Vasco,39663,46427,0,782,0,39100
VT292,VH151,2023-02-06,Andalucía,26227,14149,4,706,1,19239
VT293,VH152,2023-04-09,Valencia,34741,37357,5,758,0,28113
VT294,VH153,2023-08-01,Madrid,33408,37785,2,916,0,9599
VT295,VH153,2023-08-07,Madrid,29416,11822,4,916,0,12066
VT296,VH153,2023-03-22,Valencia,34955,29033,2,916,0,10574
VT297,VH154,2023-07-10,País Vasco,31890,28219,6,886,0,9733
VT298,VH154,2023-10-16,Valencia,28391,36060,5,886,3,10767
VT299,VH155,2023-01-01,Madrid,26897,39043,0,664,0,10871
VT300,VH155,2023-06-04,Madrid,23389,14541,1,664,0,15662
VT301,VH156,2023-05-22,Valencia,29234,37399,4,864,0,10311
VT302,VH156,2023-03-21,Cataluña,27722,38152,1,864,2,12901
VT303,VH156,2023-07-24,Valencia,31731,48120,0,864,0,8348
VT304,VH157,2023-09-07,Valencia,28693,6249,4,666,0,20267
VT305,VH158,2023-07-15,Madrid,51911,21914,2,1132,0,33569
VT306,VH158,2023-03-03,Cataluña,51576,39472,0,1132,0,31942
VT307,VH158,2023-01-28,Andalucía,49272,20926,4,1132,0,34469
VT308,VH159,2023-04-24,Cataluña,30104,47944,3,700,0,35000
VT309,VH159,2023-10-22,Valencia,30381,28307,2,700,0,35000
VT310,VH159,2023-06-22,Madrid,33081,48844,0,700,0,35000
VT311,VH160,2023-09-14,País Vasco,29440,8544,6,586,1,29300
VT312,VH160,2023-11-30,Valencia,26054,40369,5,586,0,29300
VT313,VH161,2023-08-09,Andalucía,26944,37749,0,596,3,22049
VT314,VH161,2023-06-28,Cataluña,24956,38920,5,596,2,22743
VT315,VH162,2023-11-12,País Vasco,37329,28866,0,1066,0,12222
VT316,VH162,2023-12-17,Andalucía,33750,47742,6,1066,0,12137
VT317,VH163,2023-03-17,Andalucía,27373,45468,6,842,3,13339
VT318,VH163,2023-06-19,Cataluña,32036,13885,1,842,0,11578
VT319,VH163,2023-10-08,País Vasco,31285,9263,5,842,0,16612
VT320,VH164,2023-12-06,Valencia,30655,11162,0,964,2,15352
VT321,VH164,2023-12-02,Madrid,30821,43278,2,964,0,8975
VT322,VH164,2023-07-04,Madrid,30481,42559,3,964,3,11636
VT323,VH165,2023-02-20,Andalucía,25567,39131,4,640,1,17277
VT324,VH165,2023-08-23,Valencia,27952,1408,0,640,2,18006
VT325,VH165,2023-07-21,Cataluña,23049,44847,2,640,0,18145
VT326,VH166,2023-05-22,Madrid,39396,25373,6,1008,0,13168
VT327,VH166,2023-05-24,Cataluña,35566,25745,5,1008,3,16377
VT328,VH166,2023-12-14,Valencia,41391,44991,1,1008,0,15953
VT329,VH167,2023-06-09,Valencia,23446,35535,1,712,1,10067
VT330,VH167,2023-12-17,Cataluña,26176,20250,5,712,0,10362
VT331,VH168,2023-08-09,Cataluña,35325,37017,1,720,0,36000
VT332,VH169,2023-03-02,Cataluña,33069,9536,5,724,2,36200
VT333,VH169,2023-07-31,País Vasco,32966,48864,6,724,0,36200
VT334,VH169,2023-05-21,Cataluña,36411,6997,1,724,2,36200
VT335,VH170,2023-04-29,Valencia,27610,45047,0,766,0,14683
VT336,VH170,2023-09-02,Cataluña,29274,39630,3,766,0,16527
VT337,VH170,2023-07-18,País Vasco,29099,10733,1,766,3,14256
VT338,VH171,2023-05-19,País Vasco,30592,43996,1,984,0,12308
VT339,VH172,2023-11-12,País Vasco,32689,29985,1,712,0,25566
VT340,VH172,2023-11-08,País Vasco,32903,25831,4,712,0,26242
VT341,VH173,2023-09-26,Madrid,43604,29596,3,1214,0,16726
VT342,VH173,2023-05-06,Valencia,43761,48180,0,1214,0,11836
VT343,VH173,2023-11-19,Madrid,40580,28806,3,1214,0,9722
VT344,VH174,2023-08-25,Cataluña,49902,40182,0,1068,0,53400
VT345,VH174,2023-08-26,País Vasco,46356,32811,0,1068,1,53400
VT346,VH175,2023-08-19,Madrid,34014,38686,5,868,0,22282
VT347,VH175,2023-02-16,Andalucía,35129,42505,5,868,0,23253
VT348,VH176,2023-02-16,Madrid,28151,41554,2,768,3,10368
VT349,VH177,2023-11-10,Cataluña,30734,24943,0,914,0,8350
VT350,VH177,2023-10-17,Cataluña,29297,9476,1,914,0,14292
VT351,VH177,2023-06-07,Andalucía,33068,29245,2,914,0,13740
VT352,VH178,2023-04-14,Madrid,35862,16587,0,986,0,9608
VT353,VH179,2023-01-03,Valencia,31002,15589,1,804,0,12521
VT354,VH179,2023-07-29,País Vasco,26150,39328,0,804,2,11646
VT355,VH179,2023-10-13,Cataluña,25965,9716,0,804,0,15494
VT356,VH180,2023-12-08,Valencia,41722,19558,2,920,0,29282
VT357,VH181,2023-04-02,Cataluña,28548,40048,5,780,0,11324
VT358,VH181,2023-10-15,Cataluña,30255,49108,4,780,0,14884
VT359,VH182,2023-06-15,Andalucía,52505,4434,6,1070,0,40543
VT360,VH182,2023-05-30,País Vasco,44722,45522,6,1070,3,40674
VT361,VH183,2023-04-18,Valencia,27572,37445,5,790,0,16207
VT362,VH183,2023-02-14,País Vasco,31834,39634,6,790,0,17727
VT363,VH183,2023-11-08,Andalucía,28862,37692,4,790,0,18766
VT364,VH184,2023-09-12,Valencia,54373,32619,3,1092,0,54600
VT365,VH184,2023-04-30,Andalucía,57103,103,0,1092,0,54600
VT366,VH184,2023-04-17,Valencia,57319,27134,0,1092,0,54600
VT367,VH185,2023-04-19,Madrid,31300,45220,2,790,0,17594
VT368,VH185,2023-09-17,Valencia,29273,401,0,790,0,17378
VT369,VH185,2023-10-19,Valencia,33345,11510,1,790,0,17400
VT370,VH186,2023-09-03,País Vasco,34321,42313,1,980,0,8096
VT371,VH186,2023-10-02,Andalucía,32045,27128,5,980,2,8487
VT372,VH186,2023-12-14,Andalucía,32675,1226,1,980,0,10099
VT373,VH187,2023-02-03,Cataluña,29720,2042,2,656,0,32800
VT374,VH187,2023-03-26,Valencia,31853,12280,4,656,2,32800
VT375,VH188,2023-12-30,Madrid,41869,5688,3,1076,0,24866
VT376,VH188,2023-06-04,Cataluña,44217,11469,0,1076,0,28060
VT377,VH189,2023-02-17,País Vasco,41377,31631,4,1070,2,14333
VT378,VH190,2023-09-26,Andalucía,32967,9390,6,756,0,19335
VT379,VH190,2023-09-22,Cataluña,29226,2395,3,756,0,19121
VT380,VH190,2023-03-01,Madrid,29920,2885,5,756,0,19086
VT381,VH191,2023-08-28,Madrid,38220,43187,5,978,0,27554
VT382,VH191,2023-06-09,Cataluña,40132,12618,2,978,2,26213
VT383,VH192,2023-03-02,Andalucía,37834,17933,0,1060,0,20342
VT384,VH192,2023-06-29,Valencia,39289,9277,5,1060,0,16969
VT385,VH192,2023-03-29,Madrid,39228,22199,4,1060,0,21104
VT386,VH193,2023-12-12,Madrid,27529,3525,0,732,0,21880
